state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
CT,2024,Connecticut,True,2014.0,False,9,129000.0,897.0,233.0,86.7,928823.0,5.83,3630971.0,211726.0,20868.0,19.3,19.6
CT,2025,Connecticut,True,2014.0,False,9,151151.0,918.0,223.0,88.1,905885.0,,,,22151.0,17.2,40.2
CT,2026,Connecticut,True,2014.0,False,9,156745.0,1030.0,277.0,79.0,,,,,5594.0,3.7,45.4
DC,2020,District of Columbia,True,2014.0,False,11,17538.0,534.0,505.0,6.0,262327.0,,,,,,0.0
DC,2021,District of Columbia,True,2014.0,False,11,16947.0,541.0,508.0,7.0,275771.0,3.67,659979.0,24227.0,-591.0,-3.4,-3.4
DC,2022,District of Columbia,True,2014.0,False,11,15989.0,559.0,502.0,16.4,292727.0,2.94,661425.0,19474.0,-958.0,-5.7,-8.8
DC,2023,District of Columbia,True,2014.0,False,11,14768.0,657.0,569.0,19.3,277511.0,2.71,669458.0,18125.0,-1221.0,-7.6,-15.8
DC,2024,District of Columbia,True,2014.0,False,11,14799.0,894.0,775.0,21.1,260045.0,4.49,691979.0,31061.0,31.0,0.2,-15.6
DC,2025,District of Columbia,True,2014.0,False,11,14930.0,739.0,610.0,28.2,256933.0,,,,131.0,0.9,-14.9
DC,2026,District of Columbia,True,2014.0,False,11,16053.0,815.0,725.0,18.8,,,,,1123.0,7.5,-8.5
DE,2020,Delaware,True,2014.0,False,10,23961.0,668.0,192.0,83.1,258025.0,,,,,,0.0
DE,2021,Delaware,True,2014.0,False,10,25320.0,675.0,211.0,81.1,278171.0,5.74,987964.0,56726.0,1359.0,5.7,5.7
DE,2022,Delaware,True,2014.0,False,10,32113.0,706.0,169.0,88.9,300480.0,5.65,1005551.0,56790.0,6793.0,26.8,34.0
DE,2023,Delaware,True,2014.0,False,10,34742.0,730.0,197.0,89.1,289484.0,6.49,1017865.0,66055.0,2629.0,8.2,45.0
DE,2024,Delaware,True,2014.0,False,10,44842.0,723.0,196.0,90.1,249368.0,6.9,1037354.0,71608.0,10100.0,29.1,87.1
DE,2025,Delaware,True,2014.0,False,10,52931.0,749.0,217.0,90.7,240456.0,,,,8089.0,18.0,120.9
DE,2026,Delaware,True,2014.0,False,10,44663.0,901.0,320.0,80.7,,,,,-8268.0,-15.6,86.4
FL,2020,Florida,False,,True,12,1913975.0,597.0,98.0,93.5,4104699.0,,,,,,0.0
FL,2021,Florida,False,,True,12,2120350.0,599.0,104.0,93.9,4507461.0,12.11,21465883.0,2598467.0,206375.0,10.8,10.8
FL,2022,Florida,False,,True,12,2723094.0,611.0,80.0,96.2,4883951.0,11.17,21904247.0,2447725.0,602744.0,28.4,42.3
FL,2023,Florida,False,,True,12,3225435.0,624.0,78.0,96.6,4155117.0,10.69,22276397.0,2381397.0,502341.0,18.4,68.5
FL,2024,Florida,False,,True,12,4211902.0,617.0,65.0,97.3,3740669.0,10.89,23038465.0,2509782.0,986467.0,30.6,120.1
FL,2025,Florida,False,,True,12,4735415.0,641.0,67.0,97.2,3592110.0,,,,523513.0,12.4,147.4
FL,2026,Florida,False,,True,12,4538772.0,806.0,106.0,94.6,,,,,-196643.0,-4.2,137.1
GA,2020,Georgia,True,2024.0,True,13,463910.0,566.0,133.0,87.7,2093853.0,,,,,,0.0
