fips_state,state_name,year,total_population,total_uninsured,uninsured_rate,employer_coverage,direct_purchase,medicaid_coverage
44,Rhode Island,2024,1096654,50647,4.62,652883,269118,58469
45,South Carolina,2024,5379981,481968,8.96,2997802,1284887,138003
46,South Dakota,2024,905334,73403,8.11,538195,258236,17706
47,Tennessee,2024,7131213,690683,9.69,4150701,1835406,208804
48,Texas,2024,30799313,5152427,16.73,17621937,8115472,537258
49,Utah,2024,3476732,288681,8.3,2346189,1300137,60434
50,Vermont,2024,642759,27102,4.22,372334,159991,28807
51,Virginia,2024,8580424,595595,6.94,5142844,2226336,280870
53,Washington,2024,7843290,511691,6.52,4828045,2118117,312343
54,West Virginia,2024,1736098,100543,5.79,958592,382809,107292
55,Wisconsin,2024,5897068,310536,5.27,3628924,1696540,199626
56,Wyoming,2024,576912,59332,10.28,328459,162345,7420
