year,state_abbr,platform,total_plan_selections,new_consumers,avg_monthly_premium,avg_premium_after_aptc,aptc_consumers,aptc_avg_amount,aptc_avg_premium_after,csr_consumers,total_reenrollees,age_0_17,age_18_25,age_26_34,age_35_44,age_45_54,age_55_64,age_65_plus,male,female,premium_lte_10,pct_with_aptc
2020,NE,HC.gov,90845.0,18061.0,765.0,107.0,84009.0,711.0,59.0,26757.0,72784.0,14431.0,9427.0,15191.0,15011.0,14002.0,22344.0,439.0,43215.0,47630.0,,92.5
2020,NH,HC.gov,44412.0,9509.0,529.0,238.0,30949.0,418.0,138.0,15657.0,34903.0,3462.0,3401.0,7045.0,6200.0,8442.0,15602.0,260.0,20668.0,23744.0,,69.7
2020,NJ,HC.gov,246426.0,62419.0,554.0,241.0,184542.0,419.0,162.0,113719.0,184007.0,18167.0,21625.0,39471.0,36574.0,50688.0,74924.0,4977.0,114063.0,132363.0,,74.9
2020,NM,HC.gov,42714.0,9918.0,476.0,195.0,32159.0,374.0,121.0,14424.0,32796.0,3336.0,2763.0,5232.0,5929.0,8271.0,16517.0,666.0,19247.0,23467.0,,75.3
2020,NV,SBE,77410.0,20111.0,,,61669.0,,,32047.0,57299.0,11439.0,5729.0,11097.0,11762.0,13999.0,21761.0,1609.0,35609.0,41801.0,,79.7
2020,NY,SBE,272948.0,63442.0,643.0,226.0,159152.0,345.0,,68551.0,209506.0,9778.0,22290.0,51435.0,45692.0,56764.0,84633.0,2356.0,132315.0,140633.0,,58.3
2020,OH,HC.gov,196806.0,47919.0,522.0,230.0,147231.0,389.0,149.0,64039.0,148887.0,23268.0,13725.0,28325.0,26421.0,33088.0,70620.0,1359.0,90107.0,106699.0,,74.8
2020,OK,HC.gov,158642.0,31210.0,644.0,108.0,142984.0,594.0,54.0,90311.0,127432.0,19820.0,17144.0,26145.0,27671.0,27894.0,38872.0,1096.0,70422.0,88220.0,,90.1
2020,OR,HC.gov,145264.0,32744.0,558.0,231.0,104099.0,456.0,137.0,45223.0,112520.0,11686.0,10140.0,23952.0,25560.0,26837.0,45696.0,1393.0,64631.0,80633.0,,71.7
2020,PA,HC.gov,331825.0,68509.0,648.0,213.0,278956.0,517.0,151.0,141015.0,263316.0,16705.0,24734.0,52709.0,51366.0,65281.0,118056.0,2974.0,153454.0,178371.0,,84.1
2020,RI,SBE,34634.0,6267.0,435.0,180.0,27735.0,326.0,123.0,14403.0,28367.0,1731.0,3269.0,6152.0,6165.0,7040.0,9647.0,630.0,15559.0,19070.0,,80.1
2020,SC,HC.gov,214030.0,58340.0,613.0,124.0,192354.0,543.0,79.0,91126.0,155690.0,18908.0,21062.0,33486.0,33563.0,43022.0,62654.0,1335.0,93509.0,120521.0,,89.9
2020,SD,HC.gov,29331.0,5949.0,687.0,136.0,26832.0,602.0,95.0,13342.0,23382.0,4549.0,2623.0,5124.0,4865.0,4263.0,7821.0,86.0,13846.0,15485.0,,91.5
2020,TN,HC.gov,200445.0,49460.0,641.0,145.0,171489.0,580.0,77.0,98807.0,150985.0,11940.0,16842.0,33563.0,31634.0,40925.0,63923.0,1618.0,91609.0,108836.0,,85.6
2020,TX,HC.gov,1116293.0,325050.0,532.0,115.0,988190.0,470.0,69.0,639376.0,791243.0,125105.0,131670.0,157057.0,174563.0,225470.0,277769.0,24659.0,494267.0,622026.0,,88.5
2020,UT,HC.gov,200261.0,40547.0,425.0,93.0,180650.0,368.0,62.0,94873.0,159714.0,54399.0,23755.0,36216.0,33123.0,23685.0,28156.0,927.0,95818.0,104443.0,,90.2
2020,VA,HC.gov,269474.0,59725.0,641.0,174.0,226304.0,556.0,94.0,104261.0,209749.0,33288.0,24873.0,40198.0,40959.0,50729.0,73640.0,5787.0,123227.0,146247.0,,84.0
2020,VT,SBE,27335.0,3790.0,1034.0,448.0,21665.0,738.0,276.0,9319.0,23545.0,1089.0,2436.0,4492.0,4519.0,5442.0,9160.0,197.0,12991.0,14344.0,,79.3
2020,WA,SBE,212188.0,48825.0,528.0,283.0,127385.0,408.0,148.0,64059.0,163363.0,15825.0,16760.0,35804.0,35805.0,39895.0,64866.0,3233.0,95589.0,116592.0,,60.0
2020,WI,HC.gov,195498.0,36721.0,657.0,173.0,166233.0,569.0,107.0,73722.0,158777.0,11097.0,14273.0,29269.0,28447.0,33977.0,77494.0,941.0,88699.0,106799.0,,85.0
2020,WV,HC.gov,20066.0,4247.0,992.0,285.0,17315.0,819.0,190.0,9314.0,15819.0,1027.0,1043.0,2363.0,2898.0,3944.0,8644.0,147.0,8722.0,11344.0,,86.3
2020,WY,HC.gov,24574.0,5517.0,967.0,128.0,22347.0,923.0,55.0,5501.0,19057.0,3776.0,2092.0,4383.0,3989.0,3568.0,6670.0,96.0,11069.0,13505.0,,90.9
2021,AK,HC.gov,18184.0,3927.0,697.0,197.0,14426.0,631.0,91.0,3600.0,14257.0,2630.0,1141.0,3269.0,3287.0,3077.0,4513.0,267.0,8542.0,9642.0,,79.3
2021,AL,HC.gov,169119.0,36430.0,729.0,122.0,152933.0,672.0,73.0,117145.0,132689.0,3861.0,18222.0,31191.0,31863.0,35650.0,47340.0,992.0,69926.0,99193.0,,90.4
2021,AR,HC.gov,66094.0,13645.0,546.0,187.0,56339.0,420.0,135.0,35936.0,52449.0,5953.0,5323.0,9772.0,10374.0,12520.0,21457.0,695.0,29023.0,37071.0,,85.2
2021,AZ,HC.gov,154504.0,31137.0,581.0,219.0,119693.0,466.0,130.0,65729.0,123367.0,22959.0,12124.0,18804.0,20483.0,27386.0,50900.0,1848.0,70479.0,84025.0,,77.5
2021,CA,SBM,1625546.0,249279.0,571.0,187.0,1415206.0,443.0,146.0,686052.0,1376267.0,110069.0,150707.0,289702.0,252771.0,329938.0,477816.0,14543.0,783224.0,841584.0,,87.1
2021,CO,SBM,179607.0,30733.0,459.0,228.0,122518.0,336.0,152.0,50477.0,148874.0,18337.0,12721.0,31825.0,29522.0,30194.0,48199.0,8809.0,86325.0,93282.0,,68.2
2021,CT,SBM,104946.0,19056.0,692.0,241.0,72537.0,652.0,87.0,43882.0,85890.0,7192.0,8938.0,15423.0,14011.0,20654.0,36444.0,2284.0,48766.0,56180.0,,69.1
2021,DC,SBM,16947.0,3215.0,541.0,508.0,1193.0,435.0,206.0,396.0,13732.0,1728.0,981.0,5165.0,3800.0,2610.0,2459.0,204.0,8247.0,8700.0,,7.0
2021,DE,HC.gov,25320.0,4961.0,675.0,211.0,20532.0,572.0,119.0,6444.0,20359.0,2992.0,1885.0,3717.0,3805.0,4508.0,8045.0,368.0,11408.0,13912.0,,81.1
2021,FL,HC.gov,2120350.0,511082.0,599.0,104.0,1990718.0,527.0,73.0,1333455.0,1609268.0,162749.0,246078.0,299245.0,359959.0,461964.0,546073.0,44282.0,958248.0,1162102.0,,93.9
